id,title,score,url,created_utc,num_comments,custom_title,tag,player,views,shortcode,start,stop,duration
872a7a,Lebron James dunks all over the entire borough of Brooklyn,11255,https://streamable.com/sj4m7,1521999672,796,Lebron James dunks on Brooklyn,dunk,LeBron James,443791,sj4m7,,,7.21
87nv5s,Dwyane Wade rejects LeBron James,13990,https://streamable.com/b5kq9,1522199068,783,Dwyane Wade rejects LeBron James,"defense, block",Dwyane Wade,338202,b5kq9,,9,9
88vo4j,Danuel House Jr. lobs it to himself off the glass!,12604,https://streamable.com/0old2,1522631735,546,Danuel House Jr. alley-oops himself,,Danuel House Jr.,368175,0old2,2,,8.05
88wloc,Kyle Anderson aka SLOW MO with the pick-pocket on Harden and finishing on the SLOW BREAK,2861,https://streamable.com/ttikn,1522641132,290,Kyle Anderson steals it from Harden and finishes it on the break,"defense, steal",Kyle Anderson,266958,ttikn,,,7.02
8apkl4,Rondo willingly picks up Durant to guard and strips him to seal the game,9579,https://streamable.com/1669y,1523189660,796,Rondo defends Durant and steals it to seal the game,"defense, steal",Rajon Rondo,269025,1669y,2,,17.87
8chme0,Khris Middleton with a long three to tie and send it to OT! - TNT,18590,https://streamable.com/bwl7f,1523821172,1042,Khris Middleton sends it to OT with a game-tying 3-pointer,"shot, clutch",Khris Middleton,337627,bwl7f,15,25,10
8e7seh,J.R Smith from 65 feet!,13047,https://streamable.com/t5iva,1524446500,559,J.R hits the three-quarter court shot,shot,JR Smith,474032,t5iva,,,7.14
8ez0ut,Lebron James game winning three! - TNT,29506,https://streamable.com/2l206,1524707085,3989,LeBron hits the game-winner against the Pacers,"shot, clutch",LeBron James,989208,2l206,,,6.11
8fgck1,Year 15.,12154,https://streamable.com/phjff,1524875690,1077,LeBron takes it fullcourt and dunks on Sabonis,dunk,LeBron James,342792,phjff,7,24,17
8foz49,Miller hits the fullcourt heave!,5751,https://streamable.com/s8w73,1524973520,370,Miller hits the fullcourt shot,shot,Darius Miller,276400,s8w73,,,6.47
8gn082,Donovan Mitchell drops the hammer with the put back slam,18197,https://streamable.com/5yja4,1525314078,1302,Donovan Mitchell slams home is own miss,dunk,Donovan Mitchell,446525,5yja4,1.2,,9.49
8hcjtq,LeBron buzzer beater to win it,33280,https://streamable.com/7imf7,1525576642,5019,LeBron hits the game-winner against the Raptors,"shot, clutch",LeBron James,813256,7imf7,3,,11.88
8kpne0,LeBron James incredible reverse slam,10879,https://streamable.com/pj7l2,1526780101,655,LeBron James throws down the reverse slam,dunk,LeBron James,377507,pj7l2,,9,9
8kxcti,Livingston absolutely dusting Harden,20403,https://streamable.com/59pel,1526867823,1039,Shaun Livingston fakes out Harden,move,Shaun Livingston,604359,59pel,,6,6
8l5w6u,Love with a near full-court pass to LeBron James! - ESPN,12746,https://streamable.com/nm5vg,1526950833,987,Love throws a full court pass to LeBron for the lay-up,pass,"Kevin Love, LeBron James",365871,nm5vg,2,,9.99
8lfkmr,James Harden destroys Draymond,17471,https://streamable.com/n42h8,1527040040,1467,Harden posterizes Draymond Green,dunk,James Harden,438215,n42h8,8,,10.969999999999999
8lybzw,CP3 hits the improbable 3 over Curry & then shimmys on him,19341,https://streamable.com/hr2hh,1527215332,1164,Chris Paul hits a contested 3-pointer,shot,Chris Paul,432804,hr2hh,,13,13
8m79oz,Lebron Stepback Triple Again - ESPN,12035,https://streamable.com/wtb64,1527303210,962,LeBron hits a second clutch 3-pointer,"shot, clutch",LeBron James,403390,wtb64,,,10.7
